Unique MASCOT (mz),Difference (mz)
657.8271,-0.0017339922
657.8271,-0.0017876616
657.8271,-0.0017906979
657.8271,-0.0018063102
657.8271,-0.0018135414
657.8271,-0.0018358277
657.8271,-0.0019104902
657.8271,-0.0019150754
657.8271,-0.0019918885
665.3385,0.001924006
665.3385,0.001831416
665.3385,0.0017986994
665.3385,0.0017965767
665.3385,0.0017775072
665.3385,0.001746001
665.3385,0.0017296974
665.3385,0.0016545858
665.3385,0.0016479346
665.3385,0.0015618554
665.3385,0.0015597258
665.3385,0.0015458982
665.3385,0.0014928469
665.3385,0.0014721537
665.3385,0.001371348
665.3385,0.0012725385
665.3385,0.0012225416
665.3385,0.0012076722
665.3385,0.0012043241
665.3385,0.0011899851
665.3385,0.0011027193
665.3385,0.0010955296
665.3385,0.0010757881
665.3385,0.0010486258
665.3385,0.0010042702
665.3385,0.00099537501
665.3385,0.00099506753
665.3385,0.00094424531
665.3385,0.00091380907
665.3385,0.00086750198
665.3385,0.00069213882
665.3385,0.00043970528
665.3385,0.00042984241
665.3385,0.00025266429
665.3385,0.00018773578
665.3385,0.00013151085
665.3385,9.7588557e-05
665.3385,-6.3829826e-05
665.3385,-0.00010991902
665.3385,-0.00015924726
665.3385,-0.00034487432
665.3385,-0.00038828182
665.3385,-0.00039104688
665.3385,-0.0005675147
665.3385,-0.00059882945
665.3385,-0.00064175259
665.3385,-0.00071735569
665.3385,-0.00074680305
665.3385,-0.00075910532
665.3385,-0.00081281125
665.3385,-0.00086804839
665.3385,-0.00091326242
665.3385,-0.00096496758
665.3385,-0.0011317707
665.3385,-0.0011695876
665.3385,-0.0011749237
665.3385,-0.0012180826
665.3385,-0.0012893996
665.3385,-0.0015113278
665.3385,-0.0015492415
665.3385,-0.0015671637
665.3385,-0.0017412217
665.3385,-0.0018480374
665.3385,-0.0019619496
665.3485,0.0016221318
665.3485,0.0014793079
665.3485,0.0014341755
665.3485,0.0014113994
665.3485,0.0011783391
665.3485,0.0010978789
665.3485,0.00094318131
665.3485,0.00087713057
665.3485,0.00055262734
665.3485,0.00015425776
665.3485,-0.00011991021
665.3566,0.0018650151
665.3566,0.0015819221
665.3566,0.0013703972
665.3566,0.00051009501
665.3566,-0.001719986
665.366,0.0019092096
665.366,-0.00086089834
665.366,-0.0019650321
665.3816,0.001994641
665.3816,0.0019670304
665.3816,0.0017295124
665.3816,0.001617339
665.3816,0.00017500595
665.3816,-0.0012328022
673.3357,0.0019906673
673.3357,0.0019889359
673.3357,0.001939883
673.3357,0.0019291537
673.3357,0.0019181779
673.3357,0.0019155174
673.3357,0.0018441168
673.3357,0.0018163601
673.3357,0.001816346
673.3357,0.0017949187
673.3357,0.0017940235
673.3357,0.0017869487
673.3357,0.0017515874
673.3357,0.0017470183
673.3357,0.0017445199
673.3357,0.0016819047
673.3357,0.001636558
673.3357,0.0016303446
673.3357,0.0016185138
673.3357,0.0015555326
673.3357,0.001533715
673.3357,0.0015286606
673.3357,0.0014683417
673.3357,0.0014639946
673.3357,0.0014447617
673.3357,0.0014316691
673.3357,0.0014097741
673.3357,0.0014018183
673.3357,0.0013724687
673.3357,0.0013547877
673.3357,0.0013416411
673.3357,0.0013008911
673.3357,0.0012230776
673.3357,0.0012155347
673.3357,0.0012082687
673.3357,0.001206684
673.3357,0.0011176195
673.3357,0.0011062629
673.3357,0.0011051926
673.3357,0.0010702468
673.3357,0.0010019989
673.3357,0.00099197456
673.3357,0.00097853382
673.3357,0.0008693882
673.3357,0.00086283344
673.3357,0.00083084781
673.3357,0.00079446164
673.3357,0.0007732701
673.3357,0.00076335723
673.3357,0.00070148709
673.3357,0.00066376627
673.3357,0.00065707934
673.3357,0.0006516334
673.3357,0.0006513205
673.3357,0.00064802947
673.3357,0.00057940248
673.3357,0.00053993452
673.3357,0.00053634914
673.3357,0.00047011238
673.3357,0.00046636552
673.3357,0.00043478332
673.3357,0.00043057434
673.3357,0.00041433296
673.3357,0.00038451416
673.3357,0.00038450714
673.3357,0.00037062726
673.3357,0.00035381401
673.3357,0.00031155761
673.3357,0.00024436911
673.3357,0.00023126785
673.3357,0.00017998091
673.3357,0.00017901037
673.3357,0.00016917066
673.3357,0.00011621341
673.3357,7.6235486e-05
673.3357,5.2885796e-05
673.3357,4.8974133e-05
673.3357,2.5577263e-05
673.3357,-4.9891841e-05
