Unique MASCOT (mz),Difference (mz),MASCOT RT (mins)
454.558,0.0013305955,5.0746667
454.558,0.00088386819,4.6482333
454.558,0.00066400748,3.40455
454.558,0.00050515464,3.5926667
454.558,0.00045957853,4.4496667
454.558,0.0003145643,3.3021333
454.558,0.00023220645,4.6545
454.558,-0.0001375671,3.6198333
454.558,-0.00022381886,5.0851167
454.558,-0.00077151533,3.2916833
454.558,-0.0013779979,3.6031167
501.2607,0.001983573,4.7402
501.2607,0.0019681139,2.7816833
501.2607,0.0018614308,4.7360167
501.2607,0.0018563703,4.3096333
501.2607,0.0018546064,2.3260333
501.2607,0.0018468009,4.7569167
501.2607,0.0017027822,3.6282
501.2607,0.001674064,2.2905
501.2607,0.0016723505,2.9029167
501.2607,0.0016449381,2.9405333
501.2607,0.0016372565,4.9179
501.2607,0.0016139532,4.7193
501.2607,0.0016134716,4.8384667
501.2607,0.0015933435,4.2866333
501.2607,0.0015832909,4.6336
501.2607,0.0015679982,4.8823667
501.2607,0.0015440902,4.8677333
501.2607,0.0015030779,4.2803667
501.2607,0.0014812555,2.3093167
501.2607,0.0014676922,2.8025833
501.2607,0.0014501708,4.6482333
501.2607,0.0014343057,4.7966667
501.2607,0.0013026664,4.9847833
501.2607,0.0013025283,2.9217333
501.2607,0.0012773835,4.6106167
501.2607,0.0012757387,4.6252333
501.2607,0.0012615351,4.80085
501.2607,0.0012345351,2.3782833
501.2607,0.0012304798,4.1925833
501.2607,0.0011731279,5.1039167
501.2607,0.0010974115,4.7485667
501.2607,0.0010804511,5.3589167
501.2607,0.0010778816,3.7682333
501.2607,0.001074883,4.7130333
501.2607,0.00091389626,2.3344
501.2607,0.00082335526,4.21975
501.2607,0.00080007004,4.3639667
501.2607,0.00075553218,4.1591333
501.2607,0.00067372975,2.8924667
501.2607,0.0006667504,2.7775
501.2607,0.00065708637,4.7318333
501.2607,0.00059514157,4.7757333
501.2607,0.00053462063,4.9952333
501.2607,0.00051047234,2.7169
501.2607,0.000505404,5.3484667
501.2607,0.00050143112,4.5771667
501.2607,0.00048456723,4.2072167
501.2607,0.00043090136,4.9743333
501.2607,0.00033241537,4.6085167
501.2607,0.00032813837,2.8820167
501.2607,0.00032055795,2.3051333
501.2607,0.00028165098,4.9241667
501.2607,0.00025912245,4.3117167
501.2607,0.00024341958,4.3556167
501.2607,6.7549809e-05,4.97015
501.2607,-2.4330646e-05,4.58135
501.2607,-2.4633251e-05,5.3442833
501.2607,-0.0001404641,2.3573833
501.2607,-0.00016112757,2.81095
501.2607,-0.00024968152,4.60015
501.2607,-0.00042763115,4.86355
501.2607,-0.00043191134,5.3359333
501.2607,-0.00048338322,2.2779667
