Unique MASCOT RT (mins),Difference RT (mins)
6.5235,0.00028333
6.7544,0.00125
6.7544,-0.0092
6.7544,-0.00083333
6.7544,0.0054333
6.7544,-0.0071167
6.7544,0.0096167
6.7544,-0.0050167
6.7544,-0.0029333
6.7544,0.0033333
6.7544,0.0075167
6.7824,0.00625
6.7824,-3.3333e-05
6.7824,0.00415
6.7824,0.0083333
6.7824,0.0020667
6.7824,-0.0021667
6.7824,-0.0063333
6.7824,-0.0084333
6.7824,-0.00425
5.0347,0.0059667
5.0347,-0.0003
5.0347,-0.0023833
5.0347,-0.0044833
5.0347,0.0080667
5.0347,0.0038833
5.0347,0.0017833
5.0347,-0.0065667
5.0347,-0.0086667
5.046,0.0089333
5.046,0.0068333
5.046,-0.0015167
5.046,0.00475
5.046,0.00265
5.046,-0.0036167
5.046,-0.0078
5.046,0.00056667
5.046,-0.0057
5.046,-0.0098833
5.1378,0.0046167
5.1378,0.0025167
5.1378,-0.0079333
5.1378,0.0067
5.1378,0.00043333
5.1378,-0.00165
5.1378,-0.0058333
5.1378,0.0088
5.1378,-0.00375
5.1479,-0.00415
5.1479,0.0021167
5.1479,3.3333e-05
5.1479,-0.0062333
5.1479,-0.00205
5.1479,0.0084
5.1479,0.0042167
5.1479,-0.0083333
5.1479,0.0063
7.4772,-0.0034167
7.4772,-0.0076
7.4772,-0.0055167
7.4772,-0.0096833
7.4772,-0.0013333
7.4772,0.00285
7.4772,0.0091167
7.4772,0.00076667
7.4772,0.0049333
7.4772,0.0070333
7.5031,0.0078667
7.5031,0.0016
7.5031,-0.00885
7.5031,0.00995
7.5031,0.0036833
7.5031,-0.0067667
7.5031,-0.0025833
7.5031,-0.0046833
7.5788,-0.00425
7.5788,-6.6667e-05
7.5788,-0.0084333
7.5788,0.0082833
7.5788,0.0041
7.5788,-0.0021667
7.5788,0.0020167
7.5788,0.0062
7.5994,0.0017167
7.5994,-0.00038333
7.5994,-0.00665
7.5994,0.0038
7.5994,-0.00455
7.5994,0.0059
7.5994,0.0079833
7.5994,-0.0024667
7.6806,-0.0069
7.6806,-0.0089833
7.6806,0.0077333
7.6806,0.00565
7.6806,0.0014667
7.6806,-0.00061667
7.6806,0.00355
7.6806,0.0098333
7.7072,0.0071833
7.7072,-0.0032667
7.7072,-0.0011833
7.7072,-0.0095333
7.7072,0.0092667
7.7072,-0.00745
7.7951,-0.0010667
7.7951,-0.0073333
7.7951,0.0052
7.7951,-0.00315
7.7951,-0.0094333
7.7951,0.0010167
7.7951,0.0073
7.7951,0.0031167
4.8189,-0.00078333
4.8189,-0.0028667
4.8189,0.0054833
4.8189,0.0075833
4.8189,-0.00705
4.8189,-0.0091333
4.8189,0.0034
4.8189,0.0096667
4.8189,0.0013167
4.8189,-0.0049667
4.8299,0.0081
4.8299,0.0039167
4.8299,-0.0086167
4.8299,-0.0065333
4.8299,-0.00445
4.8299,-0.00235
4.8299,0.0018333
4.8299,0.006
4.8299,-0.00026667
4.9206,0.0089833
4.9206,0.0048
4.9206,-0.00355
4.9206,-0.0098167
4.9206,-0.0014667
4.9206,0.0069
4.9206,-0.00565
4.9206,0.00063333
4.9206,0.0027167
4.9206,-0.0077333
4.9323,0.0081333
4.9323,-0.0086
4.9323,0.0018667
4.9323,-0.0065
4.9323,0.0060333
4.9323,-0.00023333
4.9323,-0.0044167
4.9323,0.00395
4.9323,-0.0023167
5.0568,-0.0094833
5.0568,0.0093333
5.0568,-0.0032167
5.0568,0.00096667
5.0568,-0.0011167
5.0568,-0.0074
5.0568,0.00515
5.0568,-0.0053
5.0568,0.0072333
5.0568,0.00305
5.4208,-0.0008
5.4208,-0.0049667
5.4208,0.0013
5.4208,0.00965
5.4208,0.0033833
5.4208,-0.00915
